(['badger', 'mask'], ['fenris', 'chest'], ['fenris', 'holster'], ['badger', 'backpack'], ['badger', 'gloves'], ['fenris', 'knees'])
(['wyvern', 'mask'], ['murakami', 'chest'], ['wyvern', 'holster'], ['murakami', 'backpack'], ['murakami', 'gloves'], ['wyvern', 'knees'])
(['wyvern', 'mask'], ['murakami', 'chest'], ['wyvern', 'holster'], ['wyvern', 'backpack'], ['murakami', 'gloves'], ['murakami', 'knees'])
(['wyvern', 'mask'], ['overlord', 'chest'], ['wyvern', 'holster'], ['wyvern', 'backpack'], ['overlord', 'gloves'], ['overlord', 'knees'])
(['wyvern', 'mask'], ['providence', 'chest'], ['providence', 'holster'], ['wyvern', 'backpack'], ['providence', 'gloves'], ['wyvern', 'knees'])
(['wyvern', 'mask'], ['providence', 'chest'], ['wyvern', 'holster'], ['providence', 'backpack'], ['providence', 'gloves'], ['wyvern', 'knees'])
(['wyvern', 'mask'], ['providence', 'chest'], ['wyvern', 'holster'], ['wyvern', 'backpack'], ['providence', 'gloves'], ['providence', 'knees'])
(['yaahl', 'mask'], ['yaahl', 'chest'], ['airaldi', 'holster'], ['airaldi', 'backpack'], ['yaahl', 'gloves'], ['airaldi', 'knees'])
(['yaahl', 'mask'], ['yaahl', 'chest'], ['gila', 'holster'], ['gila', 'backpack'], ['yaahl', 'gloves'], ['gila', 'knees'])
(['yaahl', 'mask'], ['yaahl', 'chest'], ['murakami', 'holster'], ['murakami', 'backpack'], ['yaahl', 'gloves'], ['murakami', 'knees'])
(['yaahl', 'mask'], ['yaahl', 'chest'], ['providence', 'holster'], ['providence', 'backpack'], ['yaahl', 'gloves'], ['providence', 'knees'])
(['yaahl', 'mask'], ['yaahl', 'chest'], ['wyvern', 'holster'], ['wyvern', 'backpack'], ['yaahl', 'gloves'], ['wyvern', 'knees'])
